M
M. Butterfly
Ma 6-T va crack-er
Ma Vie en CinÃ©mascope
Ma Vie en Rose
Ma-Mha
Maalamaal
Maangamizi: The Ancient One
Maborosi
Mabudachi
Mac
Mac and Me
Macabre
Macadam Tribu
Macao
Macaroni
MacArthur
Macbeth
MacGruber
Machete
Machete Kills
The Machine Girl
Machine Gun Preacher
Machine-Gun Kelly 
The Machinist
Macho Dancer
Machuca
The Mack
Mackenna's Gold
The Mackintosh Man
The Macomber Affair
Macon County Line
MacunaÃ_ma
McBain
McCabe & Mrs. Miller
"McDull, The Alumni"
McDull: Me & My Mum
McDull: Rise of the Rice Cooker
McHale's Navy
McHale's Navy Joins the Air Force
The McKenzie Break
McLintock!
McQ
McVicar
The Mad Adventures of Rabbi Jacob
Mad City
Mad Dog and Glory
The Mad Ghoul
Mad Hot Ballroom
Mad Love
Mad Max
Mad Max 2: The Road Warrior
Mad Max Beyond Thunderdome
Mad Max: Fury Road
Mad Money
The Mad Monster
Mad Monster Party
Mad at the Moon
The Mad Racer
Madadayo
Madagascar
Madagascar: Escape 2 Africa
Madagascar 3: Europe's Most Wanted
Madagascar Skin
Madame
 
Madame Bovary
Madame Butterfly
Madame Curie
Madame Rosa
Madame SatÃ£
Madame Sousatzka
MÃ_dchen in Uniform
The Maddening
Made
Made in America
Made in Dagenham
Made for Each Other
Made in Heaven
Made of Honor
Made in Sheffield
Made in U.S.A.
A Madea Christmas
Madea Goes to Jail
Madea's Big Happy Family
Madea's Family Reunion
Madea's Witness Protection
Boo! A Madea Halloween
Madeline
Mademoiselle from ArmentiÃ¨res
Madhouse
Madhumati
Madigan
Madigan's Millions
Madman
The Madness of King George
Madu Tiga
MaelstrÃ¶m
Maestro!
Mafioso
The Mafu Cage
The Magdalene Sisters
The Maggie
Magic
The Magic 7
The Magic Box
Magic Card
The Magic Christian
The Magic Flute
The Magic of Lassie
Magic Mike
Magic Mike XXL
The Magic Roundabout
The Magic Sword
Magic Town
Magic in the Water
Magic Wonderland
The Magical Legend of the Leprechauns
Magical Maestro
Magical Mystery Tour
The Magician
Magicians
The Magnificent Ambersons
Magnificent Obsession
The Magnificent Seven
Magnolia
Magnum Force
Mah Nakorn
Mahanagar
Mahogany
The Maid
Maid in Manhattan
Maid to Order
The Maids
The Main Event
Main Hoon Na
Main Prem Ki Diwani Hoon
Main Tulsi Tere Aangan Ki
Maine Pyar Kiya
MaÃ®tresse
The Majestic
Major Barbara
Major Dundee
Major League
Major League II
Major League: Back to the Minors
The Major and the Minor
Major Movie Star
Major Payne
Major Wilson's Last Stand
Make Mine Music
Make Way for Tomorrow
Make the Yuletide Gay
The Making of Fanny and Alexander
Making the Grade
Making a Living
Making Love
Making Mr. Right
The Makioka Sisters
Maku ga Agaru
Mala Noche
Malaga
Malamaal Weekly
Malaya
Malcolm
Malcolm X
La Maldicion de la Bestia
Male and Female
MalÃ¨na
Malevil
Malevolence
Malibu's Most Wanted
Malice
Malizia
Mallboy
Malli
Mallrats
Malta Story
The Maltese Falcon
Mama
Mama Flora's Family
Mama's Affair
Mamba
Mambo Italiano
Mame
Mamma Mia!
Mamma Roma
Mammoth
The Man
Man About Town
A Man for All Seasons
A Man Apart
Man of Aran
The Man Behind the Mask
Man Bites Dog
A Man from the Boulevard des Capuchines
A Man Called Hero
A Man Called Horse
A Man Called Sarge
Mandela: Long Walk to Freedom
Man of the Century
The Man from Earth
The Man from Elysian Fields
A Man Escaped
Man Facing Southeast
Man on Fire
The Man from O.R.G.Y.
The Man from Toronto
The Man from U.N.C.L.E.
Man of the Frontier
The Man with the Golden Arm
The Man with the Golden Gun
The Man in the Gray Flannel Suit
The Man in Grey
Man of the House
Man Hunt
Man of Iron
The Man with the Iron Fists
The Man in the Iron Mask
The Man from Laramie
Man on a Ledge
Man of La Mancha
Man of Marble
Man with a Million
The Man in the Moon
Man on the Moon
Man with the Movie Camera
A Man of No Importance
The Man from Nowhere
The Man with One Red Shoe
The Man on the Roof
Man with the Screaming Brain
The Man from Snowy River
The Man from Snowy River II
The Man from the Deep River
Man of Steel
Man of a Thousand Faces
The Man with Two Brains
A Man Vanishes
Man Walking Around a Corner
Man of the West
The Man in the White Suit
The Man Who Came to Dinner
The Man Who Captured Eichmann
The Man Who Could Work Miracles
The Man Who Cried
The Man Who Fell to Earth
The Man Who Knew Too Little
The Man Who Knew Too Much
The Man Who Loved Cat Dancing
The Man Who Loves Women
The Man Who Never Was
The Man Who Shot Liberty Valance
The Man Who Sued God
A Man Who Was Superman
The Man Who Wasn't There
The Man Who Would Be King
Man in the Wilderness
Man on Wire
The Man Without a Face
The Man Without a Past
Man Without a Star
A Man and a Woman
Man of the Year
Man's Best Friend
Man's Favorite Sport?
"A Man, a Real One"
Man-Thing
Management
Manatsu no ChikyÅ«
Manchester by the Sea
The Manchurian Candidate
Mandala
Manderlay
Mandingo
Mandragora
Mangal Pandey
Mangetsu no Kuchizuke
The Mangler
The Mangler Reborn
Manhandled
Manhatta
Manhattan
Manhattan Melodrama
Manhattan Murder Mystery
Manhattan Project
Manhood
Manhunter
Maniac
Maniac Cop
Maniac Cop 2
Manic
