D'Artagnan and Three Musketeers
 
D.A.R.Y.L.
D.C. Cab
D.E.B.S.
D.I.Y. or Die: How to Survive as an Independent Artist
D.O.A.
D.W. Griffith's 'Abraham Lincoln'
D-Day
D-Tox
D2: The Mighty Ducks
D3: The Mighty Ducks
DOA: Dead or Alive
The Da Vinci Code
Dabangg
Dachimawa Lee
Dad
Dad's Army
Dada's Dance
Dadah is Death
Daddy Day Camp
Daddy Day Care
Daddy Long Legs
Daddy's Little Girls
Daddy-Long-Legs
Daddy-O
Daens
Daffy Duck's Fantastic Island
Daffy Duck's Quackbusters
Daft Punk's Electroma
Dagon
Dahmer
Daisies
Daisy
Dakan
Dalagang Ilocana
Dalamarmarangal
Daleks - Invasion Earth 2150 AD
Dallas Buyers Club
The Dallas Connection
Daltry Calhoun
The Dam Busters
Dam Street
Damage
Dames
Les Dames du Bois de Boulogne
Damien: Omen II
Damn Yankees
Damnation Alley
The Damned
The Damned United
A Damsel in Distress
Damsels in Distress
Dan in Real Life
Dance of the Dead 
Dance of Death
Dance Flick
Dance with Me
Dance with the Wind
Dancer in the Dark
The Dancer Upstairs
"Dancer, Texas Pop. 81"
Dances with Wolves
Dancing at the Blue Iguana
Dancing Lady
Dancing at Lughnasa
The Dancing Masters
Dandelion
Dandy Dick
Dang Bireley's and Young Gangsters
Danger on Wheels
Danger Lights
Danger!! Death Ray
Danger: Diabolik
Dangerous
The Dangerous Affair
Dangerous Beauty
Dangerous Curves
Dangerous Liaisons
The Dangerous Lives of Altar Boys
Dangerous Living: Coming Out in the Developing World
A Dangerous Man: Lawrence After Arabia
 
A Dangerous Method
Dangerous Minds
Dangerous Moves
Daniel
"Danny, the Champion of the World"
Danny Deckchair
Danny Roane: First Time Director
Dante's Inferno
Dante's Peak
Danton
Daraar
Darby O'Gill and the Little People
Daredevil
The Darjeeling Limited
The Dark
Dark Blue
Dark Blue World
Dark City
Dark Command
The Dark Corner
The Dark Crystal
Dark Days
Dark Eyes
Dark Floors
The Dark Half
The Dark Hours
The Dark Knight
The Dark Knight Rises
The Dark Mirror
Dark Passage
Dark Secrets
Dark Shadows
Dark Side of the Moon
 
Dark Skies
Dark Star
Dark of the Sun
The Dark Tower
A Dark Truth
Dark Victory
Dark Water
Dark Waters
The Darkest Hour
Darkman
Darkman II: The Return of Durant
Darkness
Darkness Falls
Darkness in Tallinn
Darkon
Darkside Blues
Darling
Darling Companion
Darling Lili
The Darwin Awards
Darwin's Nightmare
Das Boot
Das Experiment
Das Netz
Dasepo Naughty Girls
Dasvidaniya
Date with an Angel
Date Movie
Date Night
Dating Do's and Don'ts
Daughter of the Dragon
Daughters Courageous
Daughters of Darkness
Daughters of the Dust
Dave
Dave Chappelle's Block Party
David and Bathsheba
David Holzman's Diary
David and Lisa
"Davy Crockett, King of the Wild Frontier"
Dawn Break Up
Dawn of the Dead
The Dawn Patrol
The Day After Tomorrow
A Day at the Beach
The Day of the Beast
A Day in the Country
Day of the Dead
Day of the Dead 2: Contagium
The Day of the Dolphin
Day Dreams
The Day the Earth Caught Fire
The Day the Earth Froze
The Day the Earth Stood Still
Day of the Fight
The Day I Became a Woman
The Day of the Jackal
The Day of the Locust
Day and Night
Day for Night
A Day at the Races
The Day of the Triffids
Day Watch
A Day Without a Mexican
Day of Wrath
A Day's Pleasure
Daybreak
Daybreakers
Daylight
The Days
Days of Being Wild
Days of Heaven
Days of Our Own
Days of Thunder
Days of Wine and Roses
The Daytrippers
Dazed and Confused
De Schippers van de Kameleon
De-Lovely
The Dead
Dead & Breakfast
Dead & Buried
Dead Again
Dead or Alive
Dead Bang
Dead Birds
Dead Calm
Dead Cert
Dead End
Dead Friend
The Dead Girl
The Dead Hate the Living!
Dead in a Heartbeat
Dead Heat
Dead Heat on a Merry-Go-Round
Dead Man
Dead Man on Campus
Dead Man Down
Dead Man Walking
Dead Man's Curve
Dead Man's Letters
Dead Man's Shoes
Dead Men Don't Wear Plaid
Dead Mountaineer's Hotel
Dead of Night
The Dead One
 
Dead Poets Society
The Dead Pool
Dead Presidents
Dead Reckoning
Dead Ringer
Dead Ringers
Dead Silence
Dead Snow
Dead Solid Perfect
Dead of Winter
The Dead Zone
Deadfall
Deadlier Than the Male
Deadline - U.S.A.
Deadline at Dawn
The Deadly Bees
Deadly Blessing
Deadly Drifter
Deadly Eyes
Deadly Friend
The Deadly Mantis
The Deadly Spawn
Deadly Strangers
Deadpool
Deal of the Century
Dear America: Letters Home from Vietnam
Dear Brigitte
"Dear, Donâ€™t Be Afraid"
Dear Frankie
Dear God
Dear Jesse
Dear John
Dear Wendy
Dear Zachary: A Letter to a Son About His Father
Death Becomes Her
Death Bell
Death in Brunswick
The Death Collector
Death and the Compass
Death of a Cyclist
Death of a Dynasty
Death at a Funeral
Death in Gaza
Death Hunt
Death Line
Death Machine
Death and the Maiden
The Death of Mr. LÄƒzÄƒrescu
