L.A. Confidential
L.A. Story
L.I.E.
L.O.R.D: Legend of Ravaging Dynasties
L'ora legale
La Bamba
La La La at Rock Bottom
La La Land
Laaj
Labyrinth
Lacombe Lucien
A Lad from Old Ireland
Ladder 49
Ladies of the Chorus
"Ladies and Gentlemen, The Fabulous Stains"
Ladies in Lavender
The Ladies Man
Ladies of the Mob
Ladies' Choice
The Lady
Lady of Burlesque
Lady in a Cage
Lady Caroline Lamb
Lady Chatterley
Lady for a Day
The Lady Eve
Lady Frankenstein
Lady Be Good
Lady Helen's Escapade
Lady Killer
Lady in the Lake
The Lady from Shanghai
Lady Sings the Blues
Lady Snowblood
Lady on a Train
Lady and the Tramp
Lady and the Tramp II: Scamp's Adventure
The Lady Vanishes
Lady in the Water
Lady in White
Lady Windermere's Fan: A Play About a Good Woman
A Lady Without Passport
"Lady, Let's Dance"
"Lady, Play Your Mandolin!"
Ladybug Ladybug
Ladybugs
Ladyhawke
The Ladykillers
Lagaan
Lage Raho Munna Bhai
The Lair of the White Worm
Laitakaupungin valot
Lajja
Lake Dead
The Lake House
Lake Placid
Lakeview Terrace
Lakshya
Lala's Gun
Lamb
The Lamb
Lambada
Lambchops
The Lame Devil
Lammbock
Lan Yu
Lancelot du Lac
The Land Before Time
The Land Before Time II: The Great Valley Adventure
The Land Before Time III: The Time of the Great Giving
The Land Before Time IV: Journey Through the Mists
The Land Before Time V: The Mysterious Island
The Land Before Time VI: The Secret of Saurus Rock
The Land Before Time VII: The Stone of Cold Fire
The Land Before Time VIII: The Big Freeze
The Land Before Time IX: Journey to Big Water
The Land Before Time X: The Great Longneck Migration
The Land Before Time XI: Invasion of the Tinysauruses
Land Beyond the Sunset
Land of the Blind
Land of the Dead
Land and Freedom
Land of Look Behind
Land of the Lost
Land of the Pharaohs
Land of Plenty
Land of Silence and Darkness
The Land That Time Forgot
Land Without Bread
Lani Loa
Lantana
Lapin kullan kimallus
Lapitch the Little Shoemaker
Laputa: Castle in the Sky
Lara Croft Tomb Raider: The Cradle of Life
Lara Croft: Tomb Raider
The Laramie Project
"Larceny, Inc."
Larger than Life
Larki Panjaban
Larry the Cable Guy: Health Inspector
Larry Crowne
Lars and the Real Girl
Laser Mission
Laserblast
Lassie
Lassie Come Home
Last Action Hero
The Last Airbender
The Last American Hero
The Last American Virgin
The Last Boy Scout
The Last Broadcast
Last Call
Last Cannibal World
The Last Castle
Last Chance Harvey
The Last Command
Last Dance
Last Days
The Last Days of Disco
The Last Detail
Last of the Dogmen
The Last Dragon
Last Embrace
The Last Emperor
Last Exit
Last Exit to Brooklyn
The Last Exorcism
The Last Exorcism Part II
The Last Five Years
Last Holiday
The Last Horror Movie
The Last House on the Left
Last House Standing
The Last Hunt
The Last King of Scotland
The Last Kiss
The Last Laugh
The Last Legion
Last Life in the Universe
The Last Man on Earth
Last Man Standing
The Last Metro
The Last Mimzy
Last of the Mobile Hot Shots
The Last of the Mohicans
The Last Movie
Last of the Mustangs
The Last: Naruto the Movie
Last Night
A Last Note
Last Order -Final Fantasy VII-
Last Orders
The Last Picture Show
The Last Polka
Last Present
The Last Quarter
The Last Remake of Beau Geste
The Last Samurai
The Last Seduction
The Last of Sheila
The Last Song
The Last Stage
The Last Stand
The Last Starfighter
The Last Station
Last Summer
The Last Sunset
The Last Supper
The Last Survivor
Last Tango in Paris
The Last Temptation of Christ
The Last Time I Saw Paris
