S. Darko
S Diary
S The Last Policeman - Recovery of Our Future
"S for Sex, S for Secret"
S.A.-Mann Brand
S.O.B.
S.O.S. Coast Guard
S.S. Doomtrooper
 
S.W.A.T.
Sa Pusod ng Dagat
Saagar
Saamy
Saathiya
Saawariya
Sabata
Sabotage
Saboteur
Sabretooth
Sabrina
The Sacrifice
The Sad Sack
The Saddest Music in the World
Sade
Sadie McKee
Sadie Thompson
Sadomania
Safe
Safe Haven
Safe House
Safe Men
A Safe Place
Safety Last!
Safety Not Guaranteed
The Safety of Objects
The Saga of the Viking Women and Their Voyage to the Waters of the Great Sea Serpent
Sahara
Sailor Beware
Sailor Suit and Machine Gun
Sailor Suit and Machine Gun: Graduation
The Saint in London
The Saint in New York
The Saint in Palm Springs
The Saint Meets the Tiger
The Saint Strikes Back
The Saint Takes Over
The Saint's Double Trouble
The Saint's Return
The Saint's Vacation
The Saint
Saint Ange
Saint Joan
Saint Ralph
Saint-Ex
A Saintly Switch
Saints and Soldiers
Saippuaprinssi
Saki
Salaam Bombay!
Salaam Namaste
Salakhain
Salangeul chajaseo
Salem's Lot
 
Salesman
Sally
Salmon Fishing in the Yemen
Salome of the Tenements
Salome's Last Dance
SalomÃ©
Salon Kitty
Salt
Salt of the Earth
Salt and Pepper
The Salton Sea
Saludos Amigos
Salvador
Salvador 
Salvador DalÃ_
Salvatore Giuliano
Salween
"SalÃ_, or the 120 Days of Sodom"
The Samaritan
Samaritan Girl
"Same Time, Next Year"
Le SamouraÃ¯
Sampo
Samsara
Samson and Delilah
Samson and His Mighty Challenge
Samurai Assassin
Samurai Fiction
Samurai Hustle
Samurai Hustle Returns
Samurai Rebellion
Samurai Spy
Samurai I: Musashi Miyamoto
Samurai II: Duel at Ichijoji Temple
Samurai III: Duel at Ganryu Island
San Andreas
San Francisco
Sanada 10 Braves
Sanctum
The Sand Pebbles
Sanders of the River
The Sandlot
The Sandlot 2
The Sandman
Sandor / Ida
The Sandpiper
Sands of Iwo Jima
Sangam
Sango-sho Densetsu: Aoi Umi no Erufii
Sanjuro
Sankaku
Sans Soleil
Sanshiro Sugata
Sanshiro Sugata Part II
Sansho the Bailiff
Santa Claus
Santa Claus Conquers the Martians
Santa Claus: The Movie
The Santa Clause
The Santa Clause 2
The Santa Clause 3: The Escape Clause
Santa Fe Trail
Santa with Muscles
Santa Sangre
Santa Who?
Santa's Slay
Santo Contra los Zombis
Sapphire
Saps at Sea
Saraba Abunai Deka
Saraband
The Saragossa Manuscript
Sarah Silverman: Jesus Is Magic
Sarah and Son
Sarah's Key
Saratoga Trunk
Sardaar Ji
Sarfarosh
Sarkar
Sarraounia
SARS Wars
Sasidharan
The Satan Bug
Satan Met a Lady
The Satanic Rites of Dracula
Satomi Hakkenden
Saturday the 14th
Saturday Night Fever
Saturday Night and Sunday Morning
Saturn 3
Satyam
Satyricon
Sauerbruch â€“ Das war mein Leben
Sausage Party
Le Saut Ã  la couverture
Sauve qui peut 
Savage!
Savage Beach
Savage Grace
The Savage Innocents
Savage Planet
 
Savage Streets
The Savages
Savages
Save the Green Planet!
Save the Last Dance
Save the Tiger
Saved!
The Saved
Saved from the Titanic
Saving Face
Saving Grace
Saving Mr. Banks
Saving My Hubby
Saving Private Ryan
Saving Silverman
Saving Star Wars
Savior
Saw
Saw II
Saw III
Saw IV
Saw V
Saw VI
Saw 3D
Sawdust and Tinsel
Sax Rohmer's The Castle of Fu Manchu
Say Anything...
Say It Isn't So
Say Uncle
Say Yes
Sayew
Sayonara
Sayonara
Sayonara Midori-chan
SÃ¡tÃ¡ntangÃ_
The Scalphunters
The Adventures of Scamper the Penguin
Scandal
Scandal at Scourie
Scandal Maker
Scandal Makers
Scandal Sheet
A Scanner Darkly
Scanners
The Scapegoat
The Scar
The Scar of Shame
Scaramouche
Scarecrow
The Scarecrow
Scarecrow Gone Wild
Scarecrows
Scared to Death
Scared Stiff
Scaredy Cat
Scarface
The Scarlet and the Black
 
The Scarlet Claw
Scarlet Diva
The Scarlet Empress
The Scarlet Letter
The Scarlet Pimpernel
The Scarlet Pumpernickel
The Scarlet Runner
Scarlet Sails
Scarlet Street
Scars of Dracula
Scary Movie
Scary Movie 2
Scary Movie 3
Scary Movie 4
Scary Movie 5
Scary Road is Fun
Scavenger Hunt
A Scene at the Sea
Scenes from a Mall
Scenes from a Marriage
 
Scenic Route
The Scent of Green Papaya
Scent of Love
Scent of Mystery
Scent of a Woman
Schatten â€“ Eine nÃ_chtliche Halluzination
Schindler's List
Schizopolis
School Daze
School of Rock
School for Scoundrels
School for Seduction
School Ties
School's Out! The Musical
 
Schoolgirl Report Part 1: What Parents Don't Think Is Possible
Schoolmates 1
Schtonk!
SchulmÃ_dchen-Report: Was Eltern nicht fÃ_r mÃ¶glich halten
Schultze Gets the Blues
The Science of Sleep
Scooby-Doo
Scooby-Doo and the Alien Invaders
Scooby-Doo! in Arabian Nights
 
Scooby-Doo and the Cyber Chase
Scooby-Doo! and the Legend of the Vampire
Scooby-Doo! and the Monster of Mexico
Scooby-Doo! Pirates Ahoy!
Scooby-Doo! in Where's My Mummy?
Scooby-Doo! and the Witch's Ghost
Scooby-Doo! WrestleMania Mystery
Scooby-Doo on Zombie Island
Scooby-Doo 2: Monsters Unleashed
Scoop
Scoop!
Scorched
Score
The Score
Scorpio
Scorpio Rising
The Scorpion King
The Scorpion King 2: Rise of a Warrior
"Scotland, PA"
Scott of the Antarctic
Scott Pilgrim vs. the World
The Scoundrel
The Scout
Scratch
Scream
Scream 2
Scream 3
Scream 4
Scream Blacula Scream
Scream Bloody Murder
Scream and Scream Again
Screamers
Screamers: The Hunting
Screaming Masterpiece
The Screaming Skull
Screwed
Scrooge
Scrooged
Scrub Me Mama with a Boogie Beat
Scum
Scum of the Earth!
The 7th Voyage of Sinbad
Se7en
The Sea
The Sea Chase
The Sea Hawk
The Sea Inside
Sea of Love
The Sea Wolf
The Sea Wolves
Seabiscuit
The Seafarers
Seafood
Seal Team Six: The Raid on Osama Bin Laden
SÃ©ance on a Wet Afternoon
The Searchers
Searching for Bobby Fischer
Searching for Sugar Man
Season of the Witch
Sebastiane
Second Chorus
Second in Command
The Second Hundred Years
The Second Jungle Book: Mowgli & Baloo
Second Skin
The Second Woman
Secondhand Lions
Seconds
Secret
The Secret
The Secret
Secret Admirer
Secret Agent
Secret Beyond the Door
Secret Ceremony
The Secret Diaries of Miss Anne Lister
The Secret Fury
The Secret Garden
The Secret of the Grain
Secret Honor
The Secret of Kells
The Secret Life of Bees
The Secret Life of Pets
The Secret Life of Walter Mitty
The Secret Life of Words
The Secret Lives of Dentists
The Secret of My Success
The Secret of NIMH
The Secret of NIMH 2: Timmy to the Rescue
Secret People
The Secret of Roan Inish
The Secret of the Submarine
Secret Sunshine
The Secret in Their Eyes
Secret Things
Secret Treasure
The Secret War of Harry Frigg
Secret of the Wastelands
Secret Window
The Secret World of Arrietty
Secretariat
Secretary
Secrets
Secrets & Lies
Seduced and Abandoned
Seducing Doctor Lewis
The Seduction of Mimi
Seduction: The Cruel Woman
See No Evil
See No Evil
"See No Evil, Hear No Evil"
See Spot Run
"See You in Hell, My Darling"
Seed
Seed of Chucky
Seeds of Yesterday
Seeing Other People
The Seeker: The Dark Is Rising
Seeking a Friend for the End of the World
Seeking Justice
Seema
Seems Like Old Times
Sehnsucht
Seizure
Seksmisja
Selena
Semi-Pro
Semi-Tough
Send Me No Flowers
The Sender
Sengoku Jieitai 1549
Senna
Sennenbi
The Sensation of Sight
Sensations of 1945
Sense and Sensibility
Senseless
Senso
The Sentimental Bloke
The Sentinel
Seoul Train
Separate Lies
Separate Tables
A Separation
September
September 12th
September Dawn
September in the Rain
Sequel to the Diamond from the Sky
Seraphim Falls
A Serbian Film
Serenade
Serendipity
Serene Velocity
Serenity
Sergeant Rutledge
Sergeant York
Serial
Serial Lover
Serial Mom
Series 7: The Contenders
A Serious Man
The Serpent and the Rainbow
The Serpent's Egg
The Serpent's Kiss
Serpentinen Tanz
Serpico
The Servant
Service de nuit
Serving Sara
Sesame Street Presents Follow That Bird
Session 9
The Sessions
Set It Off
The Set-Up
Setoutsumi
Settai
Setup
Seven Beauties
Seven Blows of The Dragon
Seven Brides for Seven Brothers
Seven Chances
Seven Days in May
Seven Days to Noon
Seven Hills of Rome
Seven Minutes in Heaven
The Seven Pearls
The Seven-Per-Cent Solution
Seven Psychopaths
The Seven Red Berets
Seven Samurai
Seven Times Seven
Seven Up!
The Seven Year Itch
Seven Years in Tibet
The Seven-Ups
Seventeen Again
Seventeen Moments of Spring
Seventeen Years
The Seventh Bullet
The Seventh Continent
The Seventh Cross
Seventh Heaven
The Seventh Seal
The Seventh Sign
The Seventh Victim
A Severa
Severance
Sex Appeal
Sex in Chains
Sex and the City 2
Sex and the City
Sex and Death 101
Sex Drive
Sex & Fury
Sex Lives of the Potato Men
Sex and Lucia
Sex Madness
The Sex Monster
Sex and the Single Girl
The Sex of the Stars
Sex and Zen
Sex Is Zero
Sex Is Zero 2
"sex, lies, and videotape"
"Sex, Shame, and Tears"
Sex: The Annabel Chong Story
Sexmission
"Sexo, pudor y lÃ¡grimas"
Sextette
Sexual Meditation: Room with View
Sexy Beast
Sgt. Bilko
Sgt. Kabukiman N.Y.P.D.
Sgt. Pepper's Lonely Hearts Club Band
The Shack
Shaadi Se Pehle
Shade
Shadow
The Shadow
Shadow Builder
Shadow Conspiracy
Shadow of a Doubt
Shadow Man
Shadow of the Thin Man
Shadow of the Vampire
Shadowboxer
Shadowlands
Shadowless Sword
Shadows
Shadows and Fog
Shadows of Forgotten Ancestors
Shaft
Shaft in Africa
Shaft's Big Score
Shag
The Shaggy Dog
Shake Hands With the Devil
Shake Hands with the Devil: The Journey of RomÃ©o Dallaire
Shake! Otis at Monterey
Shakedown: Return of the Sontarans
Shakes the Clown
Shakespeare in Love
Shakespeare Wallah
Shalako
Shall We Dance
Shallow Grave
Shallow Ground
Shallow Hal
Shame
Shampoo
Shane
Shanghai Dreams
Shanghai Express
The Shanghai Gesture
Shanghai Kiss
Shanghai Knights
Shanghai Noon
Shanghai Story
Shanghai Surprise
Shanghai Triad
Shaolin
Shaolin Soccer
Shaolin Temple
Shaolin Wooden Men
Shaolin and Wu Tang
Shape of the Moon
The Shape of Things
Shararat
The Shark
Shark Attack 3: Megalodon
Shark Night
Shark Tale
Sharknado
Sharknado 2: The Second One
Sharknado 3: Oh Hell No!
Sharknado: The 4th Awakens
Sharky's Machine
Shaso
Shatter Dead
Shattered
Shattered Glass
Shaukeen
Shaun of the Dead
Shaun the Sheep Movie
